Алтайский край	altai_terr
Амурская область	amur
Архангельская область	arkhangelsk
Астраханская область	astrakhan
Белгородская область	belgorod
Брянская область	bryansk
Владимирская область	vladimir
Волгоградская область	volgograd
Вологодская область	vologod
Воронежская область	voronezh
Еврейская автономная область	jewish_aut
Забайкальский край	zabkray
Ивановская область	ivanovo
Иркутская область	irkutsk
Кабардино-Балкарская Республика	kabardin-balkar
Калининградская область	kaliningrad
Калужская область	kaluga
Камчатский край	kamchatka_krai
Карачаево-Черкесская Республика	karachaev-cherkess
Кемеровская область - Кузбасс	kemerovo
Кировская область	kirov
Костромская область	kostroma
Краснодарский край	krasnodar
Красноярский край	krasnoyarsk
Курганская область	kurgan
Курская область	kursk
Ленинградская область	leningrad-reg
Липецкая область	lipetsk
Магаданская область	magadan
Московская область	moscow_reg
Мурманская область	murmansk
Ненецкий автономный округ	nenetsk
Нижегородская область	nnov
Новгородская область	novgorod
Новосибирская область	novosibirsk
Омская область	omsk
Оренбургская область	orenburg
Орловская область	orel
Пензенская область	penza
Пермский край	permkrai
Приморский край	primorsk
Псковская область	pskov
Республика Адыгея (Адыгея)	adygei
Республика Алтай	altai_rep
Республика Башкортостан	bashkortostan
Республика Бурятия	buriat
Республика Дагестан	dagestan
Республика Ингушетия	ingush
Республика Калмыкия	kalmyk
Республика Карелия	karel
Республика Коми	komi
Республика Крым	crimea
Республика Марий Эл	mari-el
Республика Мордовия	mordov
Республика Саха (Якутия)	yakut
Республика Северная Осетия - Алания	n_osset-alania
Республика Татарстан (Татарстан)	tatarstan
Республика Тыва	tyva
Республика Хакасия	khakas
Ростовская область	rostov
Рязанская область	ryazan
Самарская область	samara
Саратовская область	saratov
Сахалинская область	sakhalin
Свердловская область	sverdlovsk
Смоленская область	smolensk
Ставропольский край	stavropol
Тамбовская область	tambov
Тверская область	tver
Томская область	tomsk
Тульская область	tula
Тюменская область	tyumen
Удмуртская Республика	udmurt
Ульяновская область	ulyanovsk
Хабаровский край	khabarovsk
Ханты-Мансийский автономный округ - Югра	khantu-mansy
Челябинская область	chelyabinsk
Чеченская Республика	chechen
Чувашская Республика - Чувашия	chuvash
Чукотский автономный округ	chukot
Ямало-Ненецкий автономный округ	yamal-nenetsk
Ярославская область	yaroslavl
город Москва	moscow_city
город Санкт-Петербург	st-petersburg
город Севастополь	sevastopol
